Country;cbr
Abkhazia;
Afghanistan;33.314
Akrotiri and Dhekelia;
Albania;13.632
Algeria;23.692
American Samoa;
Andorra;
Angola;44.998
Anguilla;
Antigua and Barbuda;16.202
Argentina;17.359
Armenia;13.008
Aruba;10.044
Australia;13.265
Austria;9.615
Azerbaijan;19.897
Bahamas;15.044
Bahrain;14.205
Bangladesh;19.455
Barbados;12.011
Belarus;11.801
Belgium;11.516
Belize;22.758
Benin;35.592
Bermuda;
Bhutan;17.404
Bolivia;23.591
Bosnia and Herzegovina;8.818
Botswana;24.57
Brazil;14.513
British Virgin Islands;
Brunei;15.691
Bulgaria;9.458
Burkina Faso;39.53
Burundi;43.497
Cambodia;23.776
Cameroon;36.233
Canada;10.767
Cape Verde;21.108
Cayman Islands;
Central African Republic;33.435
Chad;44.792
Channel Islands;9.41
Chile;13.048
China;12.073
Christmas Island;
Cocos Island;
Colombia;15.483
Comoros;33.433
Congo, Dem. Rep.;41.527
Congo, Rep.;36.028
Cook Is;
Costa Rica;14.524
Cote d'Ivoire;36.895
Croatia;9.483
Cuba;10.089
Cyprus;11.206
Czech Republic;10.137
Czechoslovakia;
Denmark;10.415
Djibouti;24.721
Dominica;
Dominican Republic;20.506
East Germany;
Ecuador;20.487
Egypt;27.298
El Salvador;17.175
Equatorial Guinea;34.626
Eritrea;33.393
Eritrea and Ethiopia;
Estonia;10.741
Ethiopia;31.906
Faeroe Islands;
Falkland Is (Malvinas);
Fiji;19.688
Finland;10.658
France;12.148
French Guiana;24.846
French Polynesia;15.997
Gabon;29.718
Gambia;41.698
Georgia;13.359
Germany;8.507
Ghana;32.262
Gibraltar;
Greece;8.386
Greenland;
Grenada;19.019
Guadeloupe;12.931
Guam;17.183
Guatemala;26.752
Guernsey;
Guinea;36.409
Guinea-Bissau;36.647
Guyana;19.288
Haiti;24.578
Holy See;
Honduras;20.881
Hong Kong, China;10.067
Hungary;9.343
Iceland;13.203
India;19.658
Indonesia;19.579
Iran;17.084
Iraq;34.233
Ireland;14.45
Isle of Man;
Israel;20.686
Italy;8.379
Jamaica;17.23
Japan;8.168
Jersey;
Jordan;26.512
Kazakhstan;21.478
Kenya;34.084
Kiribati;28.506
North Korea;14.326
South Korea;9.09
United Korea (former);
Kosovo;
Kuwait;19.559
Kyrgyz Republic;26.003
Lao;26.27
Latvia;10.027
Lebanon;15.397
Lesotho;28.461
Liberia;34.613
Libya;20.303
Liechtenstein;
Lithuania;10.28
Luxembourg;11.427
Macao, China;11.681
Macedonia, FYR;11.257
Madagascar;34.223
Malawi;38.542
Malaysia;16.789
Maldives;20.804
Mali;42.908
Malta;8.92
Marshall Islands;
Martinique;11.038
Mauritania;33.002
Mauritius;10.955
Mayotte;29.8
Mexico;18.47
Micronesia, Fed. Sts.;23.571
Moldova;10.566
Monaco;
Mongolia;23.429
Montenegro;11.441
Montserrat;
Morocco;20.38
Mozambique;38.81
Myanmar;17.49
Namibia;29.414
Nauru;
Nepal;20.216
Netherlands;10.482
Netherlands Antilles;
New Caledonia;15.227
New Zealand;13.203
Ngorno-Karabakh;
Nicaragua;19.926
Niger;49.211
Nigeria;39.125
Niue;
Norfolk Island;
Northern Cyprus;
Northern Mariana Islands;
Norway;11.778
Oman;19.322
Pakistan;28.845
Palau;
Panama;19.124
Papua New Guinea;28.151
Paraguay;21.167
Peru;19.6
Philippines;23.316
Pitcairn;
Poland;10.02
Portugal;7.979
Puerto Rico;11.729
Qatar;11.806
Reunion;14.881
Romania;9.171
Russia;12.719
Rwanda;31.163
St. Barthélemy;
St. Helena;
St. Kitts and Nevis;
St. Lucia;14.933
St. Martin;
St. Vincent and the Grenadines;15.776
St.-Pierre-et-Miquelon;
Samoa;25.097
San Marino;
Sao Tome and Principe;33.532
Saudi Arabia;19.688
Senegal;37.522
Serbia;10.205
Serbia and Montenegro;
Serbia excluding Kosovo;
Seychelles;16.895
Sierra Leone;35.445
Singapore;8.949
Slovak Republic;10.505
Slovenia;10.407
Solomon Islands;29.298
Somalia;43.373
Somaliland;
South Africa;20.415
South Ossetia;
Spain;8.903
Sri Lanka;15.601
Sudan;32.645
Suriname;17.946
Svalbard;
Swaziland;29.372
Sweden;12.157
Switzerland;10.389
Syria;22.509
Taiwan;
Tajikistan;30.225
Tanzania;38.535
Thailand;10.532
Timor-Leste;37.097
Togo;35.068
Tokelau;
Tonga;24.331
Transnistria;
Trinidad and Tobago;13.979
Tunisia;17.94
Turkey;16.489
Turkmenistan;20.842
Turks and Caicos Islands;
Tuvalu;
Uganda;42.528
Ukraine;10.822
United Arab Emirates;10.592
United Kingdom;12.551
United States;12.499
Uruguay;14.148
USSR;
Uzbekistan;22.377
Wallis et Futuna;
Vanuatu;26.167
Venezuela;19.268
West Bank and Gaza;32.363
West Germany;
Western Sahara;18.124
Vietnam;16.941
Virgin Islands (U.S.);13.374
North Yemen (former);
South Yemen (former);
Yemen;31.889
Yugoslavia;
Zambia;39.672
Zimbabwe;34.521
Åland;
South Sudan;36.397
Curaçao;13.368
Sint Maarten (Dutch part);
St. Martin (French part);
Antarctica;
Bouvet Island;
British Indian Ocean Territory;
Clipperton;
French Southern and Antarctic Lands;
Gaza Strip;
Heard and McDonald Islands;
Northern Marianas;
South Georgia and the South Sandwich Islands;
US Minor Outlying Islands;
Virgin Islands;
West Bank;
