Country;cdr
Afghanistan;18.191
AFRICA;11.468
Albania;6.655
Algeria;4.91
Angola;15.216
Argentina;7.715
Armenia;9.002
Aruba;7.92
ASIA;7.354
Australia;7.061
Australia/New Zealand;7.078
Austria;9.513
Azerbaijan;6.93
Bahamas;5.911
Bahrain;2.612
Bangladesh;6.349
Barbados;7.637
Belarus;14.574
Belgium;9.665
Belize;3.504
Benin;8.205
Bhutan;6.854
Bolivia;7.14
Bosnia and Herzegovina;10.465
Botswana;12.102
Brazil;6.534
Brunei;3.049
Bulgaria;14.63
Burkina Faso;11.804
Burundi;12.937
Cambodia;7.836
Cameroon;13.151
Canada;7.625
Cape Verde;4.738
Caribbean;7.538
Central African Rep.;15.729
Central America;5.007
Chad;15.498
Channel Islands;9.559
Chile;5.79
China;7.345
Hong Kong, China;6.698
Macao, China;4.727
Colombia;5.553
Comoros;5.97
Congo, Rep.;12.252
Costa Rica;4.339
Cote d'Ivoire;9.784
Croatia;12.027
Cuba;7.462
Cyprus;7.364
Czech Rep.;10.852
Korea, Dem. Rep.;10.318
Congo, Dem. Rep.;15.839
Denmark;10.355
Djibouti;10.409
Dominican Rep.;6.046
Eastern Africa;11.138
Eastern Asia;7.552
Eastern Europe;14.093
Ecuador;5.345
Egypt;5.748
El Salvador;6.934
Equatorial Guinea;13.776
Eritrea;7.581
Estonia;13.009
Ethiopia;10.727
EUROPE;11.58
Fiji;6.925
Finland;9.731
France;8.97
French Guiana;3.666
French Polynesia;5.367
Gabon;8.869
Gambia;10.323
Georgia;12.464
Germany;11.029
Ghana;10.469
Greece;10.424
Grenada;5.851
Guadeloupe;8.098
Guam;5.68
Guatemala;5.36
Guinea;9.705
Guinea-Bissau;15.829
Guyana;7.893
Haiti;8.877
Honduras;4.918
Hungary;13.372
Iceland;6.106
India;8.103
Indonesia;6.283
Iran;5.496
Iraq;4.899
Ireland;6.487
Israel;5.559
Italy;10.527
Jamaica;7.33
Japan;9.84
Jordan;4.006
Kazakhstan;10.783
Kenya;10.316
Kuwait;2.139
Kyrgyzstan;7.146
Laos;6.447
LATIN AMERICA AND THE CARIBBEAN;6.058
Latvia;13.857
Least developed countries;10.431
Lebanon;7.084
Lesotho;16.305
Less developed regions;7.933
Less developed regions, excluding China;8.116
Less developed regions, excluding least developed countries;7.477
Liberia;9.472
Libya;4.161
Lithuania;13.788
Luxembourg;8.055
Madagascar;8.236
Malawi;10.561
Malaysia;4.647
Maldives;4.453
Mali;14.233
Malta;8.422
Martinique;8.214
Mauritania;9.538
Mauritius;7.974
Mayotte;2.983
Melanesia;7.217
Mexico;4.909
Micronesia;5.109
Micronesia, Fed. Sts.;5.848
Middle Africa;15.095
Mongolia;6.549
Montenegro;10.196
More developed regions;10.221
Morocco;5.817
Mozambique;14.725
Myanmar;8.831
Namibia;8.369
Nepal;6.122
Netherlands;8.761
Netherlands Antilles;7.669
New Caledonia;5.869
New Zealand;7.167
Nicaragua;4.589
Niger;13.09
Nigeria;15.343
Northern Africa;6.348
NORTHERN AMERICA;7.816
Northern Europe;9.884
Norway;8.48
West Bank and Gaza;3.302
OCEANIA;7.052
Oman;2.811
Pakistan;6.448
Panama;5.152
Papua New Guinea;7.521
Paraguay;5.495
Peru;5.464
Philippines;4.737
Poland;10.527
Polynesia;5.461
Portugal;10.532
Puerto Rico;8.242
Qatar;2.055
Korea, Rep.;6.304
Moldova;13.276
Reunion;5.769
Romania;12.576
Russia;15.062
Rwanda;13.473
Saint Lucia;6.242
Saint Vincent and the Grenadines;7.224
Samoa;5.196
Sao Tome and Principe;6.832
Saudi Arabia;3.63
Senegal;9.784
Serbia;11.973
Sierra Leone;14.472
Singapore;5.972
Slovak Republic;10.145
Slovenia;10.16
Solomon Islands;5.587
Somalia;14.467
South Africa;15.085
South America;6.311
South-Central Asia;7.767
South-Eastern Asia;6.414
Southern Africa;14.743
Southern Europe;10.061
Spain;8.897
Sri Lanka;6.804
Sub- Saharan Africa;12.607
Sudan;9.481
Suriname;7.616
Swaziland;14.202
Sweden;9.818
Switzerland;8.494
Syria;3.284
Tajikistan;6.238
Macedonia, FYR;9.731
Thailand;9.133
Timor-Leste;7.816
Togo;7.619
Tonga;5.99
Trinidad and Tobago;8.267
Tunisia;6.018
Turkey;6.14
Turkmenistan;7.406
Uganda;11.093
Ukraine;16.08
United Arab Emirates;1.547
United Kingdom;9.849
Tanzania;10.03
United States;7.836
Virgin Islands (U.S.);7.886
Uruguay;9.244
Uzbekistan;6.49
Vanuatu;4.593
Venezuela;5.237
Vietnam;5.457
Western Africa;13.188
Western Asia;5.264
Western Europe;9.883
Western Sahara;5.469
WORLD;8.335
Yemen, Rep.;6.337
Zambia;14.53
Zimbabwe;12.944
